transaction_id,customer_id,order_date,price,quantity,discount,total_amount
TX0267197,STD_1721031591,2025-02-26T12:32:06.000+07:00,423.99,10,0.04,4070.3037
TX0008692,STD_1721031591,2024-05-07T12:32:01.000+07:00,494.19,10,0.12,4348.872
TX0163504,STD_1721031591,2024-05-18T12:32:04.000+07:00,455.58,10,0.02,4464.684
TX0121884,STD_1721031591,2024-07-19T12:32:03.000+07:00,430.33,10,0.03,4174.201
TX0245761,STD_1721031591,2025-01-12T12:32:05.000+07:00,464.56,10,0.12,4088.1282
TX0246940,STD_1721031591,2024-07-24T12:32:05.000+07:00,475.33,9,0.03,4149.631
TX0065334,STD_1721031591,2024-12-02T12:32:02.000+07:00,476.83,10,0.04,4577.568
TX0155340,STD_1721031591,2024-05-15T12:32:04.000+07:00,497.09,9,0.03,4339.5957
TX0017504,STD_1721031591,2024-08-18T12:32:01.000+07:00,478.22,10,0.1,4303.98
TX0085815,STD_1721031591,2024-12-03T12:32:02.000+07:00,414.98,10,0.04,3983.808
TX0080392,STD_1721031591,2024-11-23T12:32:02.000+07:00,480.87,10,0.15,4087.3953
TX0036449,STD_1721031591,2024-06-08T12:32:01.000+07:00,449.86,10,0.05,4273.6694
TX0050412,STD_1721031591,2024-09-14T12:32:01.000+07:00,460.42,10,0.05,4373.99
TX0095133,STD_1721031591,2025-01-15T12:32:02.000+07:00,466.14,10,0.03,4521.5586
TX0121951,STD_1721031591,2025-01-28T12:32:03.000+07:00,456.86,10,0.06,4294.4834
TX0134906,STD_1721031591,2024-11-18T12:32:03.000+07:00,486.05,10,0.12,4277.2397
TX0071453,STD_1721031591,2025-02-04T12:32:02.000+07:00,484.51,10,0.02,4748.198
TX0101418,STD_1721031591,2024-08-22T12:32:03.000+07:00,482.81,10,0.03,4683.2573
TX0156082,STD_1721031591,2024-06-14T12:32:04.000+07:00,453.32,9,0.01,4039.0813
TX0097216,STD_1721031591,2024-06-20T12:32:02.000+07:00,428.31,10,0.01,4240.269
TX0210287,STD_1721031591,2025-02-18T12:32:05.000+07:00,498.5,10,0.17,4137.55
TX0071067,STD_1721031591,2025-03-01T12:32:02.000+07:00,483.64,9,0.03,4222.1777
TX0173450,STD_1721031591,2024-06-23T12:32:04.000+07:00,484.81,10,0.15,4120.8853
TX0165231,STD_1721031591,2025-03-14T12:32:04.000+07:00,460.79,10,0.01,4561.821
TX0242731,STD_1721031591,2024-06-27T12:32:05.000+07:00,434.31,10,0.02,4256.2383
TX0088384,STD_1721031591,2024-09-30T12:32:02.000+07:00,477.62,10,0.08,4394.1045
TX0077055,STD_1721031591,2024-10-12T12:32:02.000+07:00,495.22,10,0.18,4060.8042
TX0076371,STD_1721031591,2024-09-13T12:32:02.000+07:00,473.01,10,0.09,4304.391
TX0168799,STD_1721031591,2024-08-30T12:32:04.000+07:00,453.91,10,0.08,4175.972
TX0173808,STD_1721031591,2025-01-22T12:32:04.000+07:00,492.26,10,0.04,4725.696
TX0260159,STD_1721031591,2024-12-03T12:32:05.000+07:00,499.71,10,0.09,4547.361
TX0167143,STD_1721031591,2024-07-10T12:32:04.000+07:00,483.24,10,0.03,4687.428
TX0257695,STD_1721031591,2024-04-15T12:32:05.000+07:00,459.21,10,0.04,4408.416
TX0196605,STD_1721031591,2024-06-07T12:32:04.000+07:00,497.62,10,0.12,4379.056
TX0236104,STD_1721031591,2025-01-15T12:32:05.000+07:00,465.18,10,0.01,4605.2817
TX0173140,STD_1721031591,2024-05-07T12:32:04.000+07:00,398.12,10,0.0,3981.2
TX0019887,STD_1721031591,2025-03-27T12:32:01.000+07:00,449.02,10,0.05,4265.6895
TX0004914,STD_1721031591,2025-02-03T12:32:01.000+07:00,498.89,10,0.2,3991.1204
TX0216924,STD_1721031591,2025-03-18T12:32:05.000+07:00,456.15,10,0.06,4287.81
TX0077576,STD_1721031591,2025-03-31T12:32:02.000+07:00,499.99,10,0.19,4049.919
TX0262236,STD_1721031591,2025-02-24T12:32:06.000+07:00,497.89,9,0.08,4122.5293
TX0137929,STD_1721031591,2024-05-07T12:32:03.000+07:00,488.27,9,0.02,4306.541
TX0027278,STD_1721031591,2024-12-15T12:32:01.000+07:00,497.88,10,0.06,4680.072
TX0086038,STD_1721031591,2025-02-04T12:32:02.000+07:00,477.59,9,0.06,4040.4114
TX0010044,STD_1721031591,2024-06-28T12:32:01.000+07:00,474.64,10,0.09,4319.224
TX0021119,STD_1721031591,2024-09-30T12:32:01.000+07:00,442.28,10,0.08,4068.9758
TX0243674,STD_1721031591,2024-12-26T12:32:05.000+07:00,481.09,10,0.17,3993.0469
TX0010703,STD_1721031591,2024-11-17T12:32:01.000+07:00,452.17,10,0.1,4069.53
TX0200299,STD_1721031591,2024-09-18T12:32:04.000+07:00,474.1,10,0.07,4409.13
TX0052719,STD_1721031591,2025-01-03T12:32:02.000+07:00,434.62,10,0.06,4085.4282
TX0059946,STD_1721031591,2024-09-07T12:32:02.000+07:00,493.75,10,0.14,4246.25
TX0013585,STD_1721031591,2024-04-27T12:32:01.000+07:00,477.65,10,0.0,4776.5
TX0121674,STD_1721031591,2025-03-19T12:32:03.000+07:00,479.36,10,0.14,4122.4956
TX0250844,STD_1721031591,2024-10-07T12:32:05.000+07:00,432.99,10,0.04,4156.7036
TX0201125,STD_1721031591,2025-02-11T12:32:04.000+07:00,486.17,9,0.08,4025.488
TX0061622,STD_1721031591,2025-02-15T12:32:02.000+07:00,495.49,10,0.02,4855.802
TX0029748,STD_1721031591,2025-01-06T12:32:01.000+07:00,473.91,10,0.03,4596.9272
TX0084102,STD_1721031591,2025-01-25T12:32:02.000+07:00,492.49,10,0.16,4136.916
TX0092497,STD_1721031591,2025-03-16T12:32:02.000+07:00,439.88,10,0.0,4398.8
TX0126591,STD_1721031591,2025-03-08T12:32:03.000+07:00,428.21,10,0.07,3982.353
TX0089575,STD_1721031591,2024-08-27T12:32:02.000+07:00,452.6,10,0.05,4299.6997
TX0241443,STD_1721031591,2024-10-03T12:32:05.000+07:00,486.05,10,0.13,4228.6353
TX0052998,STD_1721031591,2024-08-11T12:32:02.000+07:00,462.84,10,0.03,4489.548
TX0108061,STD_1721031591,2024-11-12T12:32:03.000+07:00,490.62,10,0.18,4023.0842
TX0012747,STD_1721031591,2024-04-27T12:32:01.000+07:00,498.14,9,0.09,4079.7666
TX0028035,STD_1721031591,2024-12-10T12:32:01.000+07:00,488.58,9,0.09,4001.4697
TX0178621,STD_1721031591,2024-11-08T12:32:04.000+07:00,485.79,10,0.04,4663.584
TX0235262,STD_1721031591,2025-03-02T12:32:05.000+07:00,466.35,9,0.05,3987.2922
TX0242783,STD_1721031591,2024-08-15T12:32:05.000+07:00,452.91,10,0.01,4483.809
TX0043453,STD_1721031591,2024-08-11T12:32:01.000+07:00,493.86,9,0.08,4089.1606
TX0021831,STD_1721031591,2024-07-28T12:32:01.000+07:00,443.75,10,0.01,4393.125
TX0069246,STD_1721031591,2024-04-27T12:32:02.000+07:00,476.17,10,0.09,4333.147
TX0032296,STD_1721031591,2025-02-14T12:32:01.000+07:00,455.28,10,0.04,4370.6875
TX0145227,STD_1721031591,2024-09-22T12:32:03.000+07:00,478.48,9,0.01,4263.2573
TX0233953,STD_1721031591,2025-04-04T12:32:05.000+07:00,462.06,10,0.13,4019.922
TX0074229,STD_1721031591,2024-05-18T12:32:02.000+07:00,470.01,9,0.05,4018.5852
TX0114599,STD_1721031591,2024-10-30T12:32:03.000+07:00,469.23,10,0.04,4504.6084
TX0171532,STD_1721031591,2025-01-06T12:32:04.000+07:00,457.9,10,0.09,4166.8896
TX0115896,STD_1721031591,2024-08-28T12:32:03.000+07:00,479.88,9,0.05,4102.9736
TX0138648,STD_1721031591,2025-01-12T12:32:03.000+07:00,496.15,10,0.17,4118.045
TX0160766,STD_1721031591,2024-04-21T12:32:04.000+07:00,485.98,10,0.03,4714.0063
TX0135903,STD_1721031591,2025-03-11T12:32:03.000+07:00,490.69,10,0.12,4318.072
TX0197162,STD_1721031591,2024-06-25T12:32:04.000+07:00,473.68,10,0.08,4357.856
TX0171821,STD_1721031591,2024-12-25T12:32:04.000+07:00,455.56,10,0.0,4555.6
TX0110754,STD_1721031591,2024-07-04T12:32:03.000+07:00,467.16,9,0.05,3994.2178
TX0007072,STD_1721031591,2024-10-08T12:32:01.000+07:00,477.97,9,0.04,4129.6606
TX0149203,STD_1721031591,2025-03-29T12:32:04.000+07:00,488.65,9,0.05,4177.9575
TX0184169,STD_1721031591,2024-09-21T12:32:04.000+07:00,475.84,9,0.07,3982.781
TX0200385,STD_1721031591,2025-01-26T12:32:04.000+07:00,471.2,10,0.09,4287.92
TX0251994,STD_1721031591,2024-08-29T12:32:05.000+07:00,487.06,9,0.06,4120.528
TX0030187,STD_1721031591,2024-06-22T12:32:01.000+07:00,480.94,10,0.13,4184.1777
TX0023984,STD_1721031591,2025-03-18T12:32:01.000+07:00,487.72,10,0.14,4194.392
TX0069295,STD_1721031591,2025-04-04T12:32:02.000+07:00,495.26,10,0.13,4308.762
TX0194727,STD_1721031591,2025-01-10T12:32:04.000+07:00,456.63,9,0.02,4027.4766
TX0148176,STD_1721031591,2024-07-25T12:32:03.000+07:00,444.96,10,0.07,4138.128
TX0133864,STD_1721031591,2025-03-11T12:32:03.000+07:00,452.98,10,0.06,4258.012
TX0105677,STD_1721031591,2025-03-11T12:32:03.000+07:00,491.67,10,0.18,4031.694
TX0018045,STD_1721031591,2024-08-20T12:32:01.000+07:00,450.54,10,0.04,4325.1836
TX0116082,STD_1721031591,2025-02-13T12:32:03.000+07:00,427.49,10,0.01,4232.151
TX0140030,STD_1721031591,2024-12-31T12:32:03.000+07:00,488.41,9,0.04,4219.8623
TX0021228,STD_1721031591,2024-07-28T12:32:01.000+07:00,461.93,10,0.07,4295.9487
TX0016211,STD_1721031591,2024-12-17T12:32:01.000+07:00,434.47,10,0.02,4257.806
TX0013944,STD_1721031591,2024-07-25T12:32:01.000+07:00,461.82,10,0.07,4294.9263
TX0096114,STD_1721031591,2025-01-27T12:32:02.000+07:00,463.08,10,0.03,4491.876
TX0134658,STD_1721031591,2024-10-30T12:32:03.000+07:00,435.7,10,0.01,4313.43
TX0075256,STD_1721031591,2024-12-31T12:32:02.000+07:00,444.5,10,0.03,4311.65
TX0037742,STD_1721031591,2024-08-18T12:32:01.000+07:00,496.42,10,0.16,4169.928
TX0178061,STD_1721031591,2024-05-12T12:32:04.000+07:00,450.44,10,0.09,4099.004
TX0067996,STD_1721031591,2024-06-07T12:32:02.000+07:00,492.22,9,0.06,4164.181
TX0146025,STD_1721031591,2024-10-21T12:32:03.000+07:00,467.37,10,0.08,4299.804
TX0052689,STD_1721031591,2024-05-17T12:32:02.000+07:00,483.83,9,0.06,4093.2014
TX0024638,STD_1721031591,2024-07-15T12:32:01.000+07:00,481.2,10,0.15,4090.2002
